#Release 10.1.03 - par K.39 (lin64)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Nov 29 16:48:58 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       labkit_map.ncd
#OUTPUT FILE:      labkit_pad.csv
#PART TYPE:        xc2v6000
#SPEED GRADE:      -4
#PACKAGE:          bf957
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
E18,user2<11>,IOB,IO_L75N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E19,user4<11>,IOB,IO_L53P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E20,user2<12>,IOB,IO_L53N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E21,user4<12>,IOB,IO_L50P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E22,user2<13>,IOB,IO_L50N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E23,user4<13>,IOB,IO_L25P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E24,user4<14>,IOB,IO_L25N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E25,user4<23>,IOB,IO_L02P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E26,,,HSWAP_EN,,,,,,,,,,,,,
E27,,,GND,,,,,,,,,,,,,
E28,systemace_ce_b,IOB,IO_L06N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E29,systemace_address<6>,IOB,IO_L04N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E30,,DIFFS,IO_L24N_7,UNUSED,,7,,,,,,,,,,
E31,,DIFFM,IO_L19P_7,UNUSED,,7,,,,,,,,,,
F1,analyzer2_clock,IOB,IO_L43N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F2,analyzer2_data<15>,IOB,IO_L23P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F3,daughtercard<17>,IOB,IO_L06P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
F4,daughtercard<18>,IOB,IO_L06N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
F5,daughtercard<8>,IOB,IO_L01N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
F6,,,GND,,,,,,,,,,,,,
F7,user1<16>,IOB,IO_L02P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F8,user1<17>,IOB,IO_L02N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F9,user3<17>,IOB,IO_L30P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F10,,,VCCO_1,,,1,,,,,3.30,,,,,
F11,user3<26>,IOB,IO_L30N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F12,user1<27>,IOB,IO_L73P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F13,user3<27>,IOB,IO_L73N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F14,user1<28>,IOB,IO_L93P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F15,user1<21>,IOB,IO_L93N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
F16,user4<2>,IOB,IO_L92P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F17,user2<3>,IOB,IO_L92N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F18,user4<3>,IOB,IO_L69P_0/VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F19,user2<4>,IOB,IO_L69N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F20,user4<4>,IOB,IO_L51P_0/VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F21,user2<5>,IOB,IO_L51N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F22,,,VCCO_0,,,0,,,,,3.30,,,,,
F23,user2<14>,IOB,IO_L04P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F24,user2<15>,IOB,IO_L04N_0/VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
F25,,,DXN,,,,,,,,,,,,,
F26,,,GND,,,,,,,,,,,,,
F27,,DIFFS,IO_L02N_7/VRP_7,UNUSED,,7,,,TERMINATION,,,,,,,
F28,systemace_address<5>,IOB,IO_L06P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F29,systemace_data<15>,IOB,IO_L04P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
F30,,DIFFM,IO_L24P_7,UNUSED,,7,,,,,,,,,,
F31,,DIFFS,IO_L25N_7,UNUSED,,7,,,,,,,,,,
G1,analyzer1_data<15>,IOB,IO_L43P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G2,analyzer1_clock,IOB,IO_L45N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G3,,,VCCO_2,,,2,,,,,3.30,,,,,
G4,daughtercard<16>,IOB,IO_L01P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
G5,daughtercard<7>,IOB,IO_L22N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
G6,,DIFFS,IO_L02N_2/VRP_2,UNUSED,,2,,,TERMINATION,,,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,user3<16>,IOB,IO_L05P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
G9,user1<25>,IOB,IO_L20P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
G10,user3<25>,IOB,IO_L20N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
G11,,DIFFM,IO_L52P_1,UNUSED,,1,,,,,,,,,,
G12,user3<31>,IOB,IO_L52N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
G13,,,GND,,,,,,,,,,,,,
G14,user3<28>,IOB,IO_L92P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
G15,user1<29>,IOB,IO_L92N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
G16,,,GND,,,,,,,,,,,,,
G17,user4<0>,IOB,IO_L74P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
G18,user4<1>,IOB,IO_L74N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
G19,,,GND,,,,,,,,,,,,,
G20,user2<1>,IOB,IO_L26P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
G21,user4<5>,IOB,IO_L26N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
G22,user2<6>,IOB,IO_L20P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
G23,user4<6>,IOB,IO_L20N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
G24,user4<15>,IOB,IO_L02N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
G25,,,GND,,,,,,,,,,,,,
G26,,DIFFM,IO_L02P_7/VRN_7,UNUSED,,7,,,TERMINATION,,,,,,,
G27,tv_out_reset_b,IOB,IO_L21N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
G28,systemace_data<14>,IOB,IO_L22N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
G29,,,VCCO_7,,,7,,,,,3.30,,,,,
G30,,DIFFS,IO_L44N_7,UNUSED,,7,,,,,,,,,,
G31,,DIFFM,IO_L25P_7,UNUSED,,7,,,,,,,,,,
H1,daughtercard<42>,IOB,IO_L49N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
H2,,,GND,,,,,,,,,,,,,
H3,analyzer1_data<14>,IOB,IO_L46N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H4,daughtercard<15>,IOB,IO_L24N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
H5,daughtercard<6>,IOB,IO_L22P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
H6,,DIFFM,IO_L02P_2/VRN_2,UNUSED,,2,,,TERMINATION,,,,,,,
H7,daughtercard<3>,IOB,IO_L20N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
H8,,,GND,,,,,,,,,,,,,
H9,user1<24>,IOB,IO_L05N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
H10,user3<24>,IOB,IO_L23P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
H11,user1<26>,IOB,IO_L23N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
H12,,DIFFM,IO_L69P_1,UNUSED,,1,,,,,,,,,,
H13,user3<30>,IOB,IO_L69N_1/VREF_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
H14,,,VCCO_1,,,1,,,,,3.30,,,,,
H15,,DIFFM,IO_L95P_1/GCLK0S,UNUSED,,1,,,,,,,,,,
H16,clock1,IOB,IO_L95N_1/GCLK1P,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
H17,,DIFFM,IO_L71P_0,UNUSED,,0,,,,,,,,,,
H18,,,VCCO_0,,,0,,,,,3.30,,,,,
H19,user2<2>,IOB,IO_L71N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
H20,,DIFFM,IO_L29P_0,UNUSED,,0,,,,,,,,,,
H21,user2<0>,IOB,IO_L29N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
H22,user2<7>,IOB,IO_L01P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
H23,user4<7>,IOB,IO_L01N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
H24,,,GND,,,,,,,,,,,,,
H25,tv_out_blank_b,IOB,IO_L03N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
H26,tv_out_ycrcb<6>,IOB,IO_L03P_7/VREF_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
H27,tv_out_i2c_data,IOB,IO_L21P_7/VREF_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
H28,systemace_data<12>,IOB,IO_L22P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
H29,systemace_data<13>,IOB,IO_L46N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
H30,,,GND,,,,,,,,,,,,,
H31,systemace_address<4>,IOB,IO_L47N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J1,daughtercard<40>,IOB,IO_L49P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J2,daughtercard<41>,IOB,IO_L45P_2/VREF_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J3,daughtercard<14>,IOB,IO_L46P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J4,daughtercard<13>,IOB,IO_L24P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J5,daughtercard<5>,IOB,IO_L48N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J6,daughtercard<1>,IOB,IO_L47N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J7,daughtercard<0>,IOB,IO_L27N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J8,daughtercard<2>,IOB,IO_L20P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
J9,,,GND,,,,,,,,,,,,,
J10,,,TMS,,,,,,,,,,,,,
J11,,DIFFM,IO_L26P_1,UNUSED,,1,,,,,,,,,,
J12,,DIFFS,IO_L26N_1,UNUSED,,1,,,,,,,,,,
J13,user3<29>,IOB,IO_L72P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
J14,user1<30>,IOB,IO_L72N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
J15,user1<31>,IOB,IO_L77N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
J16,,DIFFM,IO_L94P_0,UNUSED,,0,,,,,,,,,,
J17,,DIFFS,IO_L94N_0/VREF_0,UNUSED,,0,,,,,,,,,,
J18,,DIFFM,IO_L91P_0,UNUSED,,0,,,,,,,,,,
J19,,DIFFM,IO_L68P_0,UNUSED,,0,,,,,,,,,,
J20,,DIFFS,IO_L68N_0,UNUSED,,0,,,,,,,,,,
J21,,DIFFM,IO_L19P_0,UNUSED,,0,,,,,,,,,,
J22,,DIFFS,IO_L19N_0,UNUSED,,0,,,,,,,,,,
J23,,,GND,,,,,,,,,,,,,
J24,analyzer3_clock,IOB,IO_L20N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J25,tv_out_pal_ntsc,IOB,IO_L23N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
J26,tv_out_ycrcb<5>,IOB,IO_L48N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
J27,tv_out_i2c_clock,IOB,IO_L43N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
J28,systemace_data<10>,IOB,IO_L52N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
J29,systemace_data<11>,IOB,IO_L46P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
J30,systemace_address<3>,IOB,IO_L44P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J31,systemace_address<2>,IOB,IO_L47P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K1,daughtercard<33>,IOB,IO_L70N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K2,daughtercard<39>,IOB,IO_L67N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K3,daughtercard<31>,IOB,IO_L52N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K4,,,GND,,,,,,,,,,,,,
K5,daughtercard<4>,IOB,IO_L48P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K6,,,VCCO_2,,,2,,,,,3.30,,,,,
K7,daughtercard<27>,IOB,IO_L27P_2/VREF_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K8,daughtercard<28>,IOB,IO_L25N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K9,daughtercard<30>,IOB,IO_L04P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
K10,analyzer2_data<14>,IOB,IO_L04N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K11,,,TCK,,,,,,,,,,,,,
K12,,DIFFM,IO_L51P_1,UNUSED,,1,,,,,,,,,,
K13,,DIFFS,IO_L51N_1/VREF_1,UNUSED,,1,,,,,,,,,,
K14,,DIFFM,IO_L77P_1,UNUSED,,1,,,,,,,,,,
K15,,,VCCINT,,,,,,,,1.5,,,,,
K16,,,GND,,,,,,,,,,,,,
K17,,,VCCINT,,,,,,,,1.5,,,,,
K18,,DIFFS,IO_L91N_0/VREF_0,UNUSED,,0,,,,,,,,,,
K19,,DIFFM,IO_L22P_0,UNUSED,,0,,,,,,,,,,
K20,,DIFFS,IO_L22N_0,UNUSED,,0,,,,,,,,,,
K21,,DIFFS,IO_L05N_7,UNUSED,,7,,,,,,,,,,
K22,analyzer3_data<13>,IOB,IO_L05P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K23,analyzer3_data<5>,IOB,IO_L27N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K24,analyzer3_data<15>,IOB,IO_L20P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K25,analyzer3_data<14>,IOB,IO_L23P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K26,,,VCCO_7,,,7,,,,,3.30,,,,,
K27,tv_out_subcar_reset,IOB,IO_L43P_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
K28,,,GND,,,,,,,,,,,,,
K29,systemace_data<9>,IOB,IO_L50N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
K30,systemace_address<1>,IOB,IO_L53N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K31,systemace_address<0>,IOB,IO_L68N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L1,analyzer1_data<10>,IOB,IO_L70P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L2,analyzer1_data<9>,IOB,IO_L67P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L3,daughtercard<34>,IOB,IO_L52P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
L4,daughtercard<32>,IOB,IO_L69N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
L5,analyzer1_data<11>,IOB,IO_L54N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L6,daughtercard<25>,IOB,IO_L47P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
L7,daughtercard<43>,IOB,IO_L51N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
L8,daughtercard<26>,IOB,IO_L25P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
L9,daughtercard<29>,IOB,IO_L44N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
L10,analyzer2_data<13>,IOB,IO_L19N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L11,,,VCCINT,,,,,,,,1.5,,,,,
L12,,,VCCO_1,,,1,,,,,3.30,,,,,
L13,,,VCCO_1,,,1,,,,,3.30,,,,,
L14,,,VCCO_1,,,1,,,,,3.30,,,,,
L15,,,VCCO_1,,,1,,,,,3.30,,,,,
L16,,,VCCINT,,,,,,,,1.5,,,,,
L17,,,VCCO_0,,,0,,,,,3.30,,,,,
L18,,,VCCO_0,,,0,,,,,3.30,,,,,
L19,,,VCCO_0,,,0,,,,,3.30,,,,,
L20,,,VCCO_0,,,0,,,,,3.30,,,,,
L21,,,VCCINT,,,,,,,,1.5,,,,,
L22,analyzer3_data<10>,IOB,IO_L45N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L23,analyzer3_data<9>,IOB,IO_L27P_7/VREF_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L24,analyzer3_data<12>,IOB,IO_L51N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L25,analyzer3_data<11>,IOB,IO_L49N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L26,tv_out_ycrcb<4>,IOB,IO_L48P_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
L27,tv_out_clock,IOB,IO_L67N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
L28,systemace_data<7>,IOB,IO_L52P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
L29,systemace_data<8>,IOB,IO_L50P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
L30,tv_in_ycrcb<2>,IOB,IO_L53P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
L31,systemace_mpbrdy,IOB,IO_L68P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
M1,analyzer1_data<7>,IOB,IO_L76N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M2,analyzer1_data<6>,IOB,IO_L75N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M3,daughtercard<36>,IOB,IO_L73N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
M4,daughtercard<35>,IOB,IO_L69P_2/VREF_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
M5,daughtercard<24>,IOB,IO_L54P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
M6,daughtercard<37>,IOB,IO_L68N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
M7,daughtercard<38>,IOB,IO_L51P_2/VREF_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
M8,analyzer1_data<12>,IOB,IO_L53N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M9,analyzer1_data<13>,IOB,IO_L44P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M10,analyzer2_data<12>,IOB,IO_L19P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M11,,,VCCO_2,,,2,,,,,3.30,,,,,
M12,,,VCCINT,,,,,,,,1.5,,,,,
M13,,,VCCO_1,,,1,,,,,3.30,,,,,
M14,,,VCCO_1,,,1,,,,,3.30,,,,,
M15,,,VCCO_1,,,1,,,,,3.30,,,,,
M16,,,VCCINT,,,,,,,,1.5,,,,,
M17,,,VCCO_0,,,0,,,,,3.30,,,,,
M18,,,VCCO_0,,,0,,,,,3.30,,,,,
M19,,,VCCO_0,,,0,,,,,3.30,,,,,
M20,,,VCCINT,,,,,,,,1.5,,,,,
M21,,,VCCO_7,,,7,,,,,3.30,,,,,
M22,analyzer3_data<4>,IOB,IO_L45P_7/VREF_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M23,analyzer3_data<8>,IOB,IO_L54N_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M24,analyzer3_data<7>,IOB,IO_L51P_7/VREF_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M25,analyzer3_data<6>,IOB,IO_L49P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M26,tv_out_ycrcb<3>,IOB,IO_L69N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
M27,tv_out_vsync_b,IOB,IO_L67P_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
M28,systemace_data<5>,IOB,IO_L70N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
M29,systemace_data<6>,IOB,IO_L71N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
M30,tv_in_ycrcb<0>,IOB,IO_L74N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
M31,tv_in_ycrcb<1>,IOB,IO_L76N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
N1,analyzer1_data<5>,IOB,IO_L76P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N2,analyzer1_data<4>,IOB,IO_L75P_2/VREF_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N3,analyzer2_data<10>,IOB,IO_L73P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N4,analyzer2_data<4>,IOB,IO_L78N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N5,daughtercard<23>,IOB,IO_L72N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
N6,analyzer2_data<6>,IOB,IO_L68P_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N7,,,GND,,,,,,,,,,,,,
N8,rs232_cts,IOB,IO_L53P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
N9,analyzer1_data<8>,IOB,IO_L71N_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N10,,DIFFS,IO_L50N_2,UNUSED,,2,,,,,,,,,,
N11,,,VCCO_2,,,2,,,,,3.30,,,,,
N12,,,VCCO_2,,,2,,,,,3.30,,,,,
N13,,,VCCINT,,,,,,,,1.5,,,,,
N14,,,VCCINT,,,,,,,,1.5,,,,,
N15,,,VCCINT,,,,,,,,1.5,,,,,
N16,,,VCCINT,,,,,,,,1.5,,,,,
N17,,,VCCINT,,,,,,,,1.5,,,,,
N18,,,VCCINT,,,,,,,,1.5,,,,,
N19,,,VCCINT,,,,,,,,1.5,,,,,
N20,,,VCCO_7,,,7,,,,,3.30,,,,,
N21,,,VCCO_7,,,7,,,,,3.30,,,,,
N22,,DIFFS,IO_L72N_7,UNUSED,,7,,,,,,,,,,
N23,analyzer3_data<3>,IOB,IO_L54P_7,OUTPUT,LVTTL*,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N24,,DIFFS,IO_L95N_7,UNUSED,,7,,,,,,,,,,
N25,,,GND,,,,,,,,,,,,,
N26,tv_out_ycrcb<2>,IOB,IO_L69P_7/VREF_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
N27,tv_out_hsync_b,IOB,IO_L73N_7,OUTPUT,LVDCI_33,7,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
N28,systemace_data<3>,IOB,IO_L70P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
N29,systemace_data<4>,IOB,IO_L71P_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
N30,,DIFFM,IO_L74P_7,UNUSED,,7,,,,,,,,,,
